"";"Drzava";"Leto";"Stevilo.prebivalcev"
"1";"Belgium";1998;10192264
"2";"Belgium";1999;10213752
"3";"Belgium";2000;10239085
"4";"Belgium";2001;10263414
"5";"Belgium";2002;10309725
"6";"Belgium";2003;10355844
"7";"Belgium";2004;10396421
"8";"Belgium";2005;10445852
"9";"Belgium";2006;10511382
"10";"Belgium";2007;10584534
"11";"Belgium";2008;10666866
"12";"Belgium";2009;10753080
"13";"Belgium";2010;10839905
"14";"Belgium";2011;11000638
"15";"Belgium";2012;11075889
"16";"Belgium";2013;11137974
"17";"Belgium";2014;11180840
"18";"Belgium";2015;11237274
"19";"Belgium";2016;11311117
"20";"Belgium";2017;11351727
"21";"Bulgaria";1998;8283200
"22";"Bulgaria";1999;8230371
"23";"Bulgaria";2000;8190876
"24";"Bulgaria";2001;8149468
"25";"Bulgaria";2002;7868815
"26";"Bulgaria";2003;7805506
"27";"Bulgaria";2004;7745147
"28";"Bulgaria";2005;7688573
"29";"Bulgaria";2006;7629371
"30";"Bulgaria";2007;7572673
"31";"Bulgaria";2008;7518002
"32";"Bulgaria";2009;7467119
"33";"Bulgaria";2010;7421766
"34";"Bulgaria";2011;7369431
"35";"Bulgaria";2012;7327224
"36";"Bulgaria";2013;7284552
"37";"Bulgaria";2014;7245677
"38";"Bulgaria";2015;7202198
"39";"Bulgaria";2016;7153784
"40";"Bulgaria";2017;7101859
"41";"Czechia";1998;10299125
"42";"Czechia";1999;10289621
"43";"Czechia";2000;10278098
"44";"Czechia";2001;10232027
"45";"Czechia";2002;10201182
"46";"Czechia";2003;10192649
"47";"Czechia";2004;10195347
"48";"Czechia";2005;10198855
"49";"Czechia";2006;10223577
"50";"Czechia";2007;10254233
"51";"Czechia";2008;10343422
"52";"Czechia";2009;10425783
"53";"Czechia";2010;10462088
"54";"Czechia";2011;10486731
"55";"Czechia";2012;10505445
"56";"Czechia";2013;10516125
"57";"Czechia";2014;10512419
"58";"Czechia";2015;10538275
"59";"Czechia";2016;10553843
"60";"Czechia";2017;10578820
"61";"Denmark";1998;5294860
"62";"Denmark";1999;5313577
"63";"Denmark";2000;5330020
"64";"Denmark";2001;5349212
"65";"Denmark";2002;5368354
"66";"Denmark";2003;5383507
"67";"Denmark";2004;5397640
"68";"Denmark";2005;5411405
"69";"Denmark";2006;5427459
"70";"Denmark";2007;5447084
"71";"Denmark";2008;5475791
"72";"Denmark";2009;5511451
"73";"Denmark";2010;5534738
"74";"Denmark";2011;5560628
"75";"Denmark";2012;5580516
"76";"Denmark";2013;5602628
"77";"Denmark";2014;5627235
"78";"Denmark";2015;5659715
"79";"Denmark";2016;5707251
"80";"Denmark";2017;5748769
"81";"Germany";1998;82057379
"82";"Germany";1999;82037011
"83";"Germany";2000;82163475
"84";"Germany";2001;82259540
"85";"Germany";2002;82440309
"86";"Germany";2003;82536680
"87";"Germany";2004;82531671
"88";"Germany";2005;82500849
"89";"Germany";2006;82437995
"90";"Germany";2007;82314906
"91";"Germany";2008;82217837
"92";"Germany";2009;82002356
"93";"Germany";2010;81802257
"94";"Germany";2011;80222065
"95";"Germany";2012;80327900
"96";"Germany";2013;80523746
"97";"Germany";2014;80767463
"98";"Germany";2015;81197537
"99";"Germany";2016;82175684
"100";"Germany";2017;82521653
"101";"Germany";1998;82057379
"102";"Germany";1999;82037011
"103";"Germany";2000;82163475
"104";"Germany";2001;82259540
"105";"Germany";2002;82440309
"106";"Germany";2003;82536680
"107";"Germany";2004;82531671
"108";"Germany";2005;82500849
"109";"Germany";2006;82437995
"110";"Germany";2007;82314906
"111";"Germany";2008;82217837
"112";"Germany";2009;82002356
"113";"Germany";2010;81802257
"114";"Germany";2011;80222065
"115";"Germany";2012;80327900
"116";"Germany";2013;80523746
"117";"Germany";2014;80767463
"118";"Germany";2015;81197537
"119";"Germany";2016;82175684
"120";"Germany";2017;82521653
"121";"Estonia";1998;1393074
"122";"Estonia";1999;1379237
"123";"Estonia";2000;1401250
"124";"Estonia";2001;1392720
"125";"Estonia";2002;1383510
"126";"Estonia";2003;1375190
"127";"Estonia";2004;1366250
"128";"Estonia";2005;1358850
"129";"Estonia";2006;1350700
"130";"Estonia";2007;1342920
"131";"Estonia";2008;1338440
"132";"Estonia";2009;1335740
"133";"Estonia";2010;1333290
"134";"Estonia";2011;1329660
"135";"Estonia";2012;1325217
"136";"Estonia";2013;1320174
"137";"Estonia";2014;1315819
"138";"Estonia";2015;1314870
"139";"Estonia";2016;1315944
"140";"Estonia";2017;1315635
"141";"Ireland";1998;3693386
"142";"Ireland";1999;3732006
"143";"Ireland";2000;3777565
"144";"Ireland";2001;3832783
"145";"Ireland";2002;3899702
"146";"Ireland";2003;3964191
"147";"Ireland";2004;4028851
"148";"Ireland";2005;4111672
"149";"Ireland";2006;4208156
"150";"Ireland";2007;4340118
"151";"Ireland";2008;4457765
"152";"Ireland";2009;4521322
"153";"Ireland";2010;4549428
"154";"Ireland";2011;4570881
"155";"Ireland";2012;4589287
"156";"Ireland";2013;4609779
"157";"Ireland";2014;4637852
"158";"Ireland";2015;4677627
"159";"Ireland";2016;4726286
"160";"Ireland";2017;4784383
"161";"Greece";1998;10693250
"162";"Greece";1999;10747768
"163";"Greece";2000;10775627
"164";"Greece";2001;10835989
"165";"Greece";2002;10888274
"166";"Greece";2003;10915770
"167";"Greece";2004;10940369
"168";"Greece";2005;10969912
"169";"Greece";2006;11004716
"170";"Greece";2007;11036008
"171";"Greece";2008;11060937
"172";"Greece";2009;11094745
"173";"Greece";2010;11119289
"174";"Greece";2011;11123392
"175";"Greece";2012;11086406
"176";"Greece";2013;11003615
"177";"Greece";2014;10926807
"178";"Greece";2015;10858018
"179";"Greece";2016;10783748
"180";"Greece";2017;10768193
"181";"Spain";1998;40143449
"182";"Spain";1999;40303568
"183";"Spain";2000;40470182
"184";"Spain";2001;40665545
"185";"Spain";2002;41035278
"186";"Spain";2003;41827838
"187";"Spain";2004;42547451
"188";"Spain";2005;43296338
"189";"Spain";2006;44009971
"190";"Spain";2007;44784666
"191";"Spain";2008;45668939
"192";"Spain";2009;46239273
"193";"Spain";2010;46486619
"194";"Spain";2011;46667174
"195";"Spain";2012;46818219
"196";"Spain";2013;46727890
"197";"Spain";2014;46512199
"198";"Spain";2015;46449565
"199";"Spain";2016;46440099
"200";"Spain";2017;46528024
"201";"France";1998;59934884
"202";"France";1999;60158533
"203";"France";2000;60545022
"204";"France";2001;60979315
"205";"France";2002;61424036
"206";"France";2003;61864088
"207";"France";2004;62292241
"208";"France";2005;62772870
"209";"France";2006;63229635
"210";"France";2007;63645065
"211";"France";2008;64007193
"212";"France";2009;64350226
"213";"France";2010;64658856
"214";"France";2011;64978721
"215";"France";2012;65276983
"216";"France";2013;65600350
"217";"France";2014;66165980
"218";"France";2015;66458153
"219";"France";2016;66638391
"220";"France";2017;66804121
"221";"France";1998;58298962
"222";"France";1999;58496613
"223";"France";2000;58858198
"224";"France";2001;59266572
"225";"France";2002;59685899
"226";"France";2003;60101841
"227";"France";2004;60505421
"228";"France";2005;60963264
"229";"France";2006;61399733
"230";"France";2007;61795238
"231";"France";2008;62134866
"232";"France";2009;62465709
"233";"France";2010;62765235
"234";"France";2011;63070344
"235";"France";2012;63375971
"236";"France";2013;63697865
"237";"Croatia";1998;4536812
"238";"Croatia";1999;4527460
"239";"Croatia";2000;4497735
"240";"Croatia";2001;4295406
"241";"Croatia";2002;4305494
"242";"Croatia";2003;4305384
"243";"Croatia";2004;4305725
"244";"Croatia";2005;4310861
"245";"Croatia";2006;4312487
"246";"Croatia";2007;4313530
"247";"Croatia";2008;4311967
"248";"Croatia";2009;4309796
"249";"Croatia";2010;4302847
"250";"Croatia";2011;4289857
"251";"Croatia";2012;4275984
"252";"Croatia";2013;4262140
"253";"Croatia";2014;4246809
"254";"Croatia";2015;4225316
"255";"Croatia";2016;4190669
"256";"Croatia";2017;4154213
"257";"Italy";1998;56904379
"258";"Italy";1999;56909109
"259";"Italy";2000;56923524
"260";"Italy";2001;56960692
"261";"Italy";2002;56987507
"262";"Italy";2003;57130506
"263";"Italy";2004;57495900
"264";"Italy";2005;57874753
"265";"Italy";2006;58064214
"266";"Italy";2007;58223744
"267";"Italy";2008;58652875
"268";"Italy";2009;59000586
"269";"Italy";2010;59190143
"270";"Italy";2011;59364690
"271";"Italy";2012;59394207
"272";"Italy";2013;59685227
"273";"Italy";2014;60782668
"274";"Italy";2015;60795612
"275";"Italy";2016;60665551
"276";"Italy";2017;60589445
"277";"Cyprus";1998;675215
"278";"Cyprus";1999;682862
"279";"Cyprus";2000;690497
"280";"Cyprus";2001;697549
"281";"Cyprus";2002;705539
"282";"Cyprus";2003;713720
"283";"Cyprus";2004;722893
"284";"Cyprus";2005;733067
"285";"Cyprus";2006;744013
"286";"Cyprus";2007;757916
"287";"Cyprus";2008;776333
"288";"Cyprus";2009;796930
"289";"Cyprus";2010;819140
"290";"Cyprus";2011;839751
"291";"Cyprus";2012;862011
"292";"Cyprus";2013;865878
"293";"Cyprus";2014;858000
"294";"Cyprus";2015;847008
"295";"Cyprus";2016;848319
"296";"Cyprus";2017;854802
"297";"Latvia";1998;2420789
"298";"Latvia";1999;2399248
"299";"Latvia";2000;2381715
"300";"Latvia";2001;2353384
"301";"Latvia";2002;2320956
"302";"Latvia";2003;2299390
"303";"Latvia";2004;2276520
"304";"Latvia";2005;2249724
"305";"Latvia";2006;2227874
"306";"Latvia";2007;2208840
"307";"Latvia";2008;2191810
"308";"Latvia";2009;2162834
"309";"Latvia";2010;2120504
"310";"Latvia";2011;2074605
"311";"Latvia";2012;2044813
"312";"Latvia";2013;2023825
"313";"Latvia";2014;2001468
"314";"Latvia";2015;1986096
"315";"Latvia";2016;1968957
"316";"Latvia";2017;1950116
"317";"Lithuania";1998;3562261
"318";"Lithuania";1999;3536401
"319";"Lithuania";2000;3512074
"320";"Lithuania";2001;3486998
"321";"Lithuania";2002;3454637
"322";"Lithuania";2003;3431497
"323";"Lithuania";2004;3398929
"324";"Lithuania";2005;3355220
"325";"Lithuania";2006;3289835
"326";"Lithuania";2007;3249983
"327";"Lithuania";2008;3212605
"328";"Lithuania";2009;3183856
"329";"Lithuania";2010;3141976
"330";"Lithuania";2011;3052588
"331";"Lithuania";2012;3003641
"332";"Lithuania";2013;2971905
"333";"Lithuania";2014;2943472
"334";"Lithuania";2015;2921262
"335";"Lithuania";2016;2888558
"336";"Lithuania";2017;2847904
"337";"Luxembourg";1998;422050
"338";"Luxembourg";1999;427350
"339";"Luxembourg";2000;433600
"340";"Luxembourg";2001;439000
"341";"Luxembourg";2002;444050
"342";"Luxembourg";2003;448300
"343";"Luxembourg";2004;454960
"344";"Luxembourg";2005;461230
"345";"Luxembourg";2006;469086
"346";"Luxembourg";2007;476187
"347";"Luxembourg";2008;483799
"348";"Luxembourg";2009;493500
"349";"Luxembourg";2010;502066
"350";"Luxembourg";2011;511840
"351";"Luxembourg";2012;524853
"352";"Luxembourg";2013;537039
"353";"Luxembourg";2014;549680
"354";"Luxembourg";2015;562958
"355";"Luxembourg";2016;576249
"356";"Luxembourg";2017;590667
"357";"Hungary";1998;10279724
"358";"Hungary";1999;10253416
"359";"Hungary";2000;10221644
"360";"Hungary";2001;10200298
"361";"Hungary";2002;10174853
"362";"Hungary";2003;10142362
"363";"Hungary";2004;10116742
"364";"Hungary";2005;10097549
"365";"Hungary";2006;10076581
"366";"Hungary";2007;10066158
"367";"Hungary";2008;10045401
"368";"Hungary";2009;10030975
"369";"Hungary";2010;10014324
"370";"Hungary";2011;9985722
"371";"Hungary";2012;9931925
"372";"Hungary";2013;9908798
"373";"Hungary";2014;9877365
"374";"Hungary";2015;9855571
"375";"Hungary";2016;9830485
"376";"Hungary";2017;9797561
"377";"Malta";1998;384176
"378";"Malta";1999;386397
"379";"Malta";2000;388759
"380";"Malta";2001;391415
"381";"Malta";2002;394641
"382";"Malta";2003;397296
"383";"Malta";2004;399867
"384";"Malta";2005;402668
"385";"Malta";2006;404999
"386";"Malta";2007;405616
"387";"Malta";2008;407832
"388";"Malta";2009;410926
"389";"Malta";2010;414027
"390";"Malta";2011;414989
"391";"Malta";2012;417546
"392";"Malta";2013;422509
"393";"Malta";2014;429424
"394";"Malta";2015;439691
"395";"Malta";2016;450415
"396";"Malta";2017;460297
"397";"Netherlands";1998;15654192
"398";"Netherlands";1999;15760225
"399";"Netherlands";2000;15863950
"400";"Netherlands";2001;15987075
"401";"Netherlands";2002;16105285
"402";"Netherlands";2003;16192572
"403";"Netherlands";2004;16258032
"404";"Netherlands";2005;16305526
"405";"Netherlands";2006;16334210
"406";"Netherlands";2007;16357992
"407";"Netherlands";2008;16405399
"408";"Netherlands";2009;16485787
"409";"Netherlands";2010;16574989
"410";"Netherlands";2011;16655799
"411";"Netherlands";2012;16730348
"412";"Netherlands";2013;16779575
"413";"Netherlands";2014;16829289
"414";"Netherlands";2015;16900726
"415";"Netherlands";2016;16979120
"416";"Netherlands";2017;17081507
"417";"Austria";1998;7971116
"418";"Austria";1999;7982461
"419";"Austria";2000;8002186
"420";"Austria";2001;8020946
"421";"Austria";2002;8063640
"422";"Austria";2003;8100273
"423";"Austria";2004;8142573
"424";"Austria";2005;8201359
"425";"Austria";2006;8254298
"426";"Austria";2007;8282984
"427";"Austria";2008;8307989
"428";"Austria";2009;8335003
"429";"Austria";2010;8351643
"430";"Austria";2011;8375164
"431";"Austria";2012;8408121
"432";"Austria";2013;8451860
"433";"Austria";2014;8507786
"434";"Austria";2015;8584926
"435";"Austria";2016;8700471
"436";"Austria";2017;8772865
"437";"Poland";1998;38659979
"438";"Poland";1999;38666983
"439";"Poland";2000;38263303
"440";"Poland";2001;38253955
"441";"Poland";2002;38242197
"442";"Poland";2003;38218531
"443";"Poland";2004;38190608
"444";"Poland";2005;38173835
"445";"Poland";2006;38157055
"446";"Poland";2007;38125479
"447";"Poland";2008;38115641
"448";"Poland";2009;38135876
"449";"Poland";2010;38022869
"450";"Poland";2011;38062718
"451";"Poland";2012;38063792
"452";"Poland";2013;38062535
"453";"Poland";2014;38017856
"454";"Poland";2015;38005614
"455";"Poland";2016;37967209
"456";"Poland";2017;37972964
"457";"Portugal";1998;10133758
"458";"Portugal";1999;10186634
"459";"Portugal";2000;10249022
"460";"Portugal";2001;10330774
"461";"Portugal";2002;10394669
"462";"Portugal";2003;10444592
"463";"Portugal";2004;10473050
"464";"Portugal";2005;10494672
"465";"Portugal";2006;10511988
"466";"Portugal";2007;10532588
"467";"Portugal";2008;10553339
"468";"Portugal";2009;10563014
"469";"Portugal";2010;10573479
"470";"Portugal";2011;10572721
"471";"Portugal";2012;10542398
"472";"Portugal";2013;10487289
"473";"Portugal";2014;10427301
"474";"Portugal";2015;10374822
"475";"Portugal";2016;10341330
"476";"Portugal";2017;10309573
"477";"Romania";1998;22526093
"478";"Romania";1999;22488595
"479";"Romania";2000;22455485
"480";"Romania";2001;22430457
"481";"Romania";2002;21833483
"482";"Romania";2003;21627509
"483";"Romania";2004;21521142
"484";"Romania";2005;21382354
"485";"Romania";2006;21257016
"486";"Romania";2007;21130503
"487";"Romania";2008;20635460
"488";"Romania";2009;20440290
"489";"Romania";2010;20294683
"490";"Romania";2011;20199059
"491";"Romania";2012;20095996
"492";"Romania";2013;20020074
"493";"Romania";2014;19947311
"494";"Romania";2015;19870647
"495";"Romania";2016;19760585
"496";"Romania";2017;19644350
"497";"Slovenia";1998;1984923
"498";"Slovenia";1999;1978334
"499";"Slovenia";2000;1987755
"500";"Slovenia";2001;1990094
"501";"Slovenia";2002;1994026
"502";"Slovenia";2003;1995033
"503";"Slovenia";2004;1996433
"504";"Slovenia";2005;1997590
"505";"Slovenia";2006;2003358
"506";"Slovenia";2007;2010377
"507";"Slovenia";2008;2010269
"508";"Slovenia";2009;2032362
"509";"Slovenia";2010;2046976
"510";"Slovenia";2011;2050189
"511";"Slovenia";2012;2055496
"512";"Slovenia";2013;2058821
"513";"Slovenia";2014;2061085
"514";"Slovenia";2015;2062874
"515";"Slovenia";2016;2064188
"516";"Slovenia";2017;2065895
"517";"Slovakia";1998;5387650
"518";"Slovakia";1999;5393382
"519";"Slovakia";2000;5398657
"520";"Slovakia";2001;5378783
"521";"Slovakia";2002;5378951
"522";"Slovakia";2003;5374873
"523";"Slovakia";2004;5371875
"524";"Slovakia";2005;5372685
"525";"Slovakia";2006;5372928
"526";"Slovakia";2007;5373180
"527";"Slovakia";2008;5376064
"528";"Slovakia";2009;5382401
"529";"Slovakia";2010;5390410
"530";"Slovakia";2011;5392446
"531";"Slovakia";2012;5404322
"532";"Slovakia";2013;5410836
"533";"Slovakia";2014;5415949
"534";"Slovakia";2015;5421349
"535";"Slovakia";2016;5426252
"536";"Slovakia";2017;5435343
"537";"Finland";1998;5147349
"538";"Finland";1999;5159646
"539";"Finland";2000;5171302
"540";"Finland";2001;5181115
"541";"Finland";2002;5194901
"542";"Finland";2003;5206295
"543";"Finland";2004;5219732
"544";"Finland";2005;5236611
"545";"Finland";2006;5255580
"546";"Finland";2007;5276955
"547";"Finland";2008;5300484
"548";"Finland";2009;5326314
"549";"Finland";2010;5351427
"550";"Finland";2011;5375276
"551";"Finland";2012;5401267
"552";"Finland";2013;5426674
"553";"Finland";2014;5451270
"554";"Finland";2015;5471753
"555";"Finland";2016;5487308
"556";"Finland";2017;5503297
"557";"Sweden";1998;8847625
"558";"Sweden";1999;8854322
